金蕊家苑  | 2室2厅 | 93.16平米 | 南 北 | 其他 | 有电梯,高楼层(共11层)2007年建板楼  -  安德门,269万单价28876元/平米,https://nj.lianjia.com/xiaoqu/1411000000388/
恒安嘉园  | 4室2厅 | 149.97平米 | 南 北 | 其他 | 无电梯,中楼层(共5层)2006年建板楼  -  科学园,355万单价23672元/平米,https://nj.lianjia.com/xiaoqu/2511051145995/
新理想佳园  | 3室1厅 | 113.34平米 | 南 | 其他 | 有电梯,高楼层(共11层)2005年建板塔结合  -  江浦街道,265万单价23381元/平米,https://nj.lianjia.com/xiaoqu/2511053362151/
马府新村  | 2室1厅 | 58.08平米 | 南 北 | 其他 | 无电梯,中楼层(共6层)1990年建板楼  -  常府街,185万单价31853元/平米,https://nj.lianjia.com/xiaoqu/1411041609662/
大华锦绣华城香榭美颂  | 3室2厅 | 91.57平米 | 南 北 | 其他 | 无电梯,中楼层(共7层)2012年建板楼  -  桥北,270万单价29486元/平米,https://nj.lianjia.com/xiaoqu/2511052776240/
新河一村  | 2室1厅 | 50.42平米 | 南 北 | 其他 | 无电梯,高楼层(共5层)1989年建板楼  -  定淮门大街,350万单价69417元/平米,https://nj.lianjia.com/xiaoqu/1411041537407/
威尼斯水城第一街区  | 3室2厅 | 106.02平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2015年建板楼  -  桥北,260万单价24524元/平米,https://nj.lianjia.com/xiaoqu/2511053303407/
马府新村  | 2室1厅 | 68.06平米 | 南 | 其他 | 无电梯,高楼层(共7层)1990年建板楼  -  常府街,190万单价27917元/平米,https://nj.lianjia.com/xiaoqu/1411041609662/
五塘村  | 3室1厅 | 113.24平米 | 南 北 | 其他 | 无电梯,中楼层(共7层)1997年建板楼  -  五塘广场,258万单价22784元/平米,https://nj.lianjia.com/xiaoqu/1411046686187/
沿河二村  | 2室1厅 | 56.53平米 | 南 北 | 其他,中楼层(共6层)1988年建板塔结合  -  万达广场,165万单价29189元/平米,https://nj.lianjia.com/xiaoqu/1411000000807/
康业里  | 2室1厅 | 62.75平米 | 南 北 | 其他 | 无电梯,低楼层(共7层)2000年建板楼  -  洪家园,180万单价28686元/平米,https://nj.lianjia.com/xiaoqu/1411047120051/
翠屏清华园  | 3室2厅 | 134.17平米 | 南 | 其他,中楼层(共5层)2005年建板楼  -  将军大道,365万单价27205元/平米,https://nj.lianjia.com/xiaoqu/1411049353593/
武定新村  | 2室1厅 | 44.66平米 | 南 | 其他 | 无电梯,高楼层(共4层)1988年建板楼  -  秦虹,120万单价26870元/平米,https://nj.lianjia.com/xiaoqu/1411046888805/
中粮彩云居  | 1室1厅 | 36.9平米 | 东 | 其他 | 无电梯,高楼层(共6层)2012年建板楼  -  九龙湖,105万单价28456元/平米,https://nj.lianjia.com/xiaoqu/2511052676391/
天水雅居  | 4室2厅 | 140.19平米 | 南 | 精装 | 无电梯,高楼层(共6层)2002年建板楼  -  岔路口,285万单价20330元/平米,https://nj.lianjia.com/xiaoqu/1411099421155/
三牌楼大街  | 2室1厅 | 50.78平米 | 南 | 其他 | 有电梯,中楼层(共7层)1995年建板塔结合  -  三牌楼,212万单价41749元/平米,https://nj.lianjia.com/xiaoqu/1411043462683/
福园  | 1室1厅 | 36.56平米 | 南 北 | 其他 | 无电梯,低楼层(共6层)1995年建板楼  -  湖西街,127万单价34738元/平米,https://nj.lianjia.com/xiaoqu/1411000000506/
庆盛园  | 2室1厅 | 54.85平米 | 南 北 | 其他 | 有电梯,低楼层(共7层)2000年建板楼  -  卫岗,162万单价29536元/平米,https://nj.lianjia.com/xiaoqu/1411046520023/
天成苑  | 3室1厅 | 114.61平米 | 南 北 | 其他 | 有电梯,低楼层(共21层)2006年建板塔结合  -  应天西路,405万单价35338元/平米,https://nj.lianjia.com/xiaoqu/1411000000636/
小杨村小区  | 2室1厅 | 52.85平米 | 南 北 | 其他 | 有电梯,高楼层(共7层)1994年建板楼  -  五老村,176万单价33302元/平米,https://nj.lianjia.com/xiaoqu/1411041199087/
天泰青城苑  | 2室2厅 | 71.86平米 | 东 南 | 其他 | 有电梯,中楼层(共27层)2012年建板楼  -  将军大道,223万单价31033元/平米,https://nj.lianjia.com/xiaoqu/1411051509703/
武夷绿洲观竹苑  | 3室2厅 | 97.31平米 | 南 北 | 其他 | 无电梯,中楼层(共6层)2007年建板楼  -  科学园,300万单价30830元/平米,https://nj.lianjia.com/xiaoqu/2511051341161/
老虎桥  | 3室1厅 | 77.81平米 | 南 | 其他 | 无电梯,低楼层(共7层)1995年建板楼  -  珠江路,415万单价53336元/平米,https://nj.lianjia.com/xiaoqu/1411000000433/
玉带园  | 2室1厅 | 71.59平米 | 南 | 精装 | 无电梯,中楼层(共7层)1992年建板楼  -  来凤里,246万单价34363元/平米,https://nj.lianjia.com/xiaoqu/2511053603871/
阳光里  | 2室2厅 | 49.77平米 | 南 | 毛坯 | 无电梯,低楼层(共7层)2001年建板楼  -  洪家园,145万单价29135元/平米,https://nj.lianjia.com/xiaoqu/1411046917753/
华汇康城  | 3室2厅 | 126.17平米 | 南 北 | 其他 | 有电梯,中楼层(共11层)2009年建板塔结合  -  麒麟镇,248万单价19657元/平米,https://nj.lianjia.com/xiaoqu/2511052540312/
康安里小区  | 2室1厅 | 60.97平米 | 南 北 | 其他 | 无电梯,中楼层(共7层)2000年建板楼  -  秦虹,190万单价31163元/平米,https://nj.lianjia.com/xiaoqu/1411046870968/
百家湖国际花园  | 2室2厅 | 111.76平米 | 西南 | 其他 | 有电梯,中楼层(共28层)2006年建塔楼  -  百家湖,310万单价27739元/平米,https://nj.lianjia.com/xiaoqu/1411050268508/
南湾营馨康苑  | 3室1厅 | 91.81平米 | 南 北 | 其他 | 有电梯,高楼层(共11层)2004年建板楼  -  马群,185万单价20151元/平米,https://nj.lianjia.com/xiaoqu/2511052905651/
马府新村  | 3室1厅 | 78.4平米 | 南 北 | 其他 | 无电梯,中楼层(共7层)1990年建板楼  -  常府街,268万单价34184元/平米,https://nj.lianjia.com/xiaoqu/1411041609662/
天水雅居  | 4室2厅 | 140.19平米 | 南 | 精装 | 无电梯,高楼层(共6层)2002年建板楼  -  岔路口,285万单价20330元/平米,https://nj.lianjia.com/xiaoqu/1411099421155/
明月港湾月亮湾  | 2室2厅 | 91.11平米 | 南 北 | 其他 | 无电梯,中楼层(共6层)2006年建板楼  -  岔路口,231万单价25354元/平米,https://nj.lianjia.com/xiaoqu/2511053853037/
宁和新寓  | 2室2厅 | 65.69平米 | 南 | 简装 | 无电梯,低楼层(共7层)1996年建板楼  -  三牌楼,276万单价42016元/平米,https://nj.lianjia.com/xiaoqu/1411047120921/
南方花园A组团  | 2室2厅 | 66.69平米 | 南 北 | 其他 | 无电梯,中楼层(共6层)2000年建板楼  -  岔路口,195万单价29240元/平米,https://nj.lianjia.com/xiaoqu/2511053997816/
吉兆花园  | 3室1厅 | 71.74平米 | 南 北 | 其他 | 无电梯,低楼层(共7层)1995年建板楼  -  丹凤街,298万单价41539元/平米,https://nj.lianjia.com/xiaoqu/1411000000410/
南理工中山小区  | 4室2厅 | 130.12平米 | 南 北 | 其他 | 无电梯,低楼层(共6层)2005年建板塔结合  -  孝陵卫,590万单价45343元/平米,https://nj.lianjia.com/xiaoqu/1411062411874/
鱼市街小区  | 2室1厅 | 46.05平米 | 南 北 | 其他 | 无电梯,低楼层(共7层)1988年建板楼  -  丹凤街,168万单价36483元/平米,https://nj.lianjia.com/xiaoqu/1411000000848/
郁金香花苑  | 1室1厅 | 38.85平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)2003年建板楼  -  宁南,150万单价38611元/平米,https://nj.lianjia.com/xiaoqu/1411046906922/
天元吉第城  | 2室1厅 | 60.22平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2006年建板楼  -  东山镇,168万单价27898元/平米,https://nj.lianjia.com/xiaoqu/2511051013057/
21世纪国际公寓  | 2室2厅 | 86.36平米 | 东 南 | 其他 | 有电梯,高楼层(共32层)2011年建塔楼  -  百家湖,259万单价29991元/平米,https://nj.lianjia.com/xiaoqu/2511051140596/
洪武路111号  | 3室1厅 | 74.97平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)1985年建板塔结合  -  新街口,285万单价38016元/平米,https://nj.lianjia.com/xiaoqu/1411000000290/
金王府  | 3室2厅 | 93.28平米 | 南 北 | 其他 | 无电梯,中楼层(共6层)2009年建板楼  -  百家湖,293万单价31411元/平米,https://nj.lianjia.com/xiaoqu/1411041492791/
保利梧桐语花园  | 2室2厅 | 67.99平米 | 南 | 精装 | 有电梯,中楼层(共18层)2016年建板楼  -  江宁大学城,190万单价27946元/平米,https://nj.lianjia.com/xiaoqu/1411099825154/
白鹭花园莺歌苑  | 2室1厅 | 51.8平米 | 南 北 | 其他 | 无电梯,中楼层(共7层)2000年建板塔结合  -  万达广场,185万单价35715元/平米,https://nj.lianjia.com/xiaoqu/1411000000040/
海德卫城  | 2室2厅 | 112.47平米 | 南 | 其他 | 有电梯,高楼层(共28层)2006年建板塔结合  -  草场门大街,445万单价39567元/平米,https://nj.lianjia.com/xiaoqu/1411000000234/
琥珀森林一期  | 2室1厅 | 85.88平米 | 南 北 | 其他 | 有电梯,中楼层(共18层)2016年建板塔结合  -  铁心桥,280万单价32604元/平米,https://nj.lianjia.com/xiaoqu/1411049184702/
南湾营润康苑  | 3室1厅 | 85.11平米 | 南 北 | 毛坯 | 有电梯,低楼层(共11层)2004年建板楼  -  马群,172万单价20210元/平米,https://nj.lianjia.com/xiaoqu/2511052611907/
景明佳园赋景苑  | 2室1厅 | 62.28平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2003年建板楼  -  宁南,160万单价25691元/平米,https://nj.lianjia.com/xiaoqu/1411047734012/
富丽山庄  | 2室1厅 | 39.61平米 | 南 北 | 其他 | 无电梯,中楼层(共8层)1997年建板楼  -  月牙湖,140万单价35345元/平米,https://nj.lianjia.com/xiaoqu/1411000000180/
南湾营馨康苑  | 3室1厅 | 84.95平米 | 南 | 其他 | 有电梯,中楼层(共11层)2004年建板塔结合  -  马群,184万单价21660元/平米,https://nj.lianjia.com/xiaoqu/2511052905651/
浦珠花园  | 2室1厅 | 88.99平米 | 东 西 | 简装 | 无电梯,低楼层(共6层)2006年建板楼  -  江浦街道,185万单价20789元/平米,https://nj.lianjia.com/xiaoqu/2511053634071/
凤虹苑  | 2室1厅 | 61.05平米 | 南 北 | 其他 | 无电梯,中楼层(共7层)1992年建板楼  -  秦虹,170万单价27847元/平米,https://nj.lianjia.com/xiaoqu/1411046870473/
庆盛园  | 2室1厅 | 64.46平米 | 南 北 | 其他 | 有电梯,中楼层(共7层)2000年建板楼  -  卫岗,170万单价26373元/平米,https://nj.lianjia.com/xiaoqu/1411046520023/
大石桥  | 2室1厅 | 66.91平米 | 南 | 其他 | 无电梯,中楼层(共7层)1993年建板楼  -  丹凤街,225万单价33628元/平米,https://nj.lianjia.com/xiaoqu/1411000000123/
武夷绿洲观竹苑  | 3室2厅 | 104.24平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)2007年建板塔结合  -  科学园,300万单价28780元/平米,https://nj.lianjia.com/xiaoqu/2511051341161/
保利罗兰香谷  | 3室2厅 | 95.21平米 | 南 北 | 其他 | 有电梯,高楼层(共18层)2014年建板塔结合  -  仙林,306万单价32140元/平米,https://nj.lianjia.com/xiaoqu/2511053880746/
常府风华苑  | 2室1厅 | 82平米 | 西北 | 精装 | 有电梯,低楼层(共27层)2010年建板楼  -  常府街,224万单价27318元/平米,https://nj.lianjia.com/xiaoqu/1411041181019/
世茂滨江新城  | 2室2厅 | 123.86平米 | 南 | 精装 | 有电梯,低楼层(共62层)2010年建板塔结合  -  热河南路,430万单价34717元/平米,https://nj.lianjia.com/xiaoqu/1411000000590/
九龙盛世园  | 2室2厅 | 88.69平米 | 南 北 | 其他 | 有电梯,低楼层(共9层)2005年建板楼  -  秦虹,300万单价33826元/平米,https://nj.lianjia.com/xiaoqu/1411046368703/
鸿都大厦  | 5室2厅 | 153.74平米 | 南 北 | 其他 | 有电梯,高楼层(共16层)2004年建塔楼  -  凤凰西街,538万单价34995元/平米,https://nj.lianjia.com/xiaoqu/1411000000233/
中电颐和家园睿域  | 2室1厅 | 71.43平米 | 南 北 | 其他 | 有电梯,中楼层(共18层)2013年建塔楼  -  红山,265万单价37100元/平米,https://nj.lianjia.com/xiaoqu/1411100305348/
亚都天元居  | 3室2厅 | 112.48平米 | 南 | 其他 | 有电梯,中楼层(共17层)2007年建板楼  -  百家湖,330万单价29339元/平米,https://nj.lianjia.com/xiaoqu/1411049844392/
锁金村6至10号  | 3室1厅 | 71.49平米 | 南 | 简装 | 无电梯,低楼层(共6层)1999年建板塔结合  -  锁金村,230万单价32173元/平米,https://nj.lianjia.com/xiaoqu/1411059997152/
双和园  | 5室2厅 | 127.42平米 | 南 北 | 毛坯 | 有电梯,高楼层(共11层)2005年建板楼  -  奥体,430万单价33747元/平米,https://nj.lianjia.com/xiaoqu/1411000000580/
香山美墅  | 3室2厅 | 137.54平米 | 南 北 | 其他 | 无电梯,中楼层(共4层)2009年建板楼  -  将军大道,450万单价32718元/平米,https://nj.lianjia.com/xiaoqu/1411041189799/
竺桥  | 2室1厅 | 50.28平米 | 南 北 | 其他 | 有电梯,高楼层(共7层)1992年建板塔结合  -  长江路,140万单价27845元/平米,https://nj.lianjia.com/xiaoqu/1411000000887/
通宇林景雅园  | 3室2厅 | 124.2平米 | 南 | 其他 | 有电梯,中楼层(共11层)2014年建塔楼  -  江浦街道,360万单价28986元/平米,https://nj.lianjia.com/xiaoqu/2511053339771/
万达紫金明珠  | 1室0厅 | 31.46平米 | 东 | 精装 | 有电梯,中楼层(共10层)2006年建板楼  -  月牙湖,85万单价27019元/平米,https://nj.lianjia.com/xiaoqu/1411046463725/
爱达花园兰花园  | 2室1厅 | 63.96平米 | 南 北 | 其他 | 无电梯,高楼层(共7层)1995年建板楼  -  应天西路,147万单价22984元/平米,https://nj.lianjia.com/xiaoqu/1411000000002/
万科金域蓝湾  | 3室2厅 | 115.34平米 | 南 | 其他 | 有电梯,中楼层(共31层)2014年建塔楼  -  九龙湖,425万单价36848元/平米,https://nj.lianjia.com/xiaoqu/1411041487932/
双乐园小区  | 2室2厅 | 85.57平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1997年建板楼  -  来凤里,220万单价25710元/平米,https://nj.lianjia.com/xiaoqu/1411043420529/
富春里  | 3室1厅 | 64.8平米 | 南 北 | 其他 | 无电梯,低楼层(共7层)1996年建板楼  -  新街口,208万单价32099元/平米,https://nj.lianjia.com/xiaoqu/1411042940713/
仁恒翠竹园  | 4室2厅 | 149.97平米 | 南 | 其他 | 有电梯,中楼层(共11层)2006年建板楼  -  宁南,600万单价40009元/平米,https://nj.lianjia.com/xiaoqu/1411046392500/
同曦国际广场  | 3室2厅 | 142.98平米 | 南 北 | 其他 | 有电梯,中楼层(共28层)2011年建板塔结合  -  百家湖,420万单价29375元/平米,https://nj.lianjia.com/xiaoqu/2511051418148/
月牙湖花园  | 2室2厅 | 82.31平米 | 南 北 | 其他 | 无电梯,中楼层(共6层)1996年建板楼  -  月牙湖,320万单价38878元/平米,https://nj.lianjia.com/xiaoqu/1411045349171/
百家湖西花园巴黎城  | 3室2厅 | 104.91平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)2005年建板楼  -  百家湖,290万单价27643元/平米,https://nj.lianjia.com/xiaoqu/1411049712967/
亚东国际公寓  | 3室2厅 | 133.24平米 | 南 北 | 其他 | 有电梯,中楼层(共28层)2009年建板楼  -  能仁里,478万单价35876元/平米,https://nj.lianjia.com/xiaoqu/1411000000793/
清凉新村  | 3室1厅 | 71.11平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1995年建板楼  -  龙江,270万单价37970元/平米,https://nj.lianjia.com/xiaoqu/1411043185479/
康居里  | 3室1厅 | 64.52平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1996年建板楼  -  秦虹,160万单价24799元/平米,https://nj.lianjia.com/xiaoqu/1411046917756/
弘阳旭日上城一区  | 3室2厅 | 113.79平米 | 南 北 | 其他 | 有电梯,中楼层(共18层)2007年建塔楼  -  桥北,275万单价24168元/平米,https://nj.lianjia.com/xiaoqu/2511053234687/
通宇林景雅园  | 3室1厅 | 116.86平米 | 南 北 | 其他 | 有电梯,低楼层(共11层)2010年建板楼  -  江浦街道,318万单价27213元/平米,https://nj.lianjia.com/xiaoqu/2511053339771/
北苑二村  | 2室1厅 | 53.25平米 | 南 北 | 其他 | 无电梯,低楼层(共6层)1991年建板楼  -  迈皋桥,165万单价30986元/平米,https://nj.lianjia.com/xiaoqu/1411063778583/
来凤里  | 3室1厅 | 86.21平米 | 南 北 | 其他 | 无电梯,中楼层(共8层)1997年建板楼  -  来凤里,233万单价27028元/平米,https://nj.lianjia.com/xiaoqu/1411041500069/
南方花园枫彩园  | 2室1厅 | 55.99平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)2006年建板楼  -  岔路口,158万单价28220元/平米,https://nj.lianjia.com/xiaoqu/1411041466211/
翠屏国际广场苑  | 3室2厅 | 108.03平米 | 南 北 | 其他 | 有电梯,中楼层(共11层)2006年建板楼  -  将军大道,308万单价28511元/平米,https://nj.lianjia.com/xiaoqu/1411049115648/
居安里  | 2室1厅 | 58.11平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)1988年建板楼  -  丹凤街,178万单价30632元/平米,https://nj.lianjia.com/xiaoqu/1411000000338/
万裕龙庭水岸  | 3室2厅 | 105.75平米 | 南 北 | 其他 | 有电梯,中楼层(共20层)2017年建板楼  -  江宁大学城,260万单价24587元/平米,https://nj.lianjia.com/xiaoqu/1411063561439/
海德卫城  | 2室2厅 | 112.47平米 | 南 | 其他 | 有电梯,高楼层(共28层)2006年建板塔结合  -  草场门大街,445万单价39567元/平米,https://nj.lianjia.com/xiaoqu/1411000000234/
琥珀森林一期  | 2室1厅 | 85.88平米 | 南 北 | 其他 | 有电梯,中楼层(共18层)2016年建板塔结合  -  铁心桥,280万单价32604元/平米,https://nj.lianjia.com/xiaoqu/1411049184702/
南湾营润康苑  | 3室1厅 | 85.11平米 | 南 北 | 毛坯 | 有电梯,低楼层(共11层)2004年建板楼  -  马群,172万单价20210元/平米,https://nj.lianjia.com/xiaoqu/2511052611907/
景明佳园赋景苑  | 2室1厅 | 62.28平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2003年建板楼  -  宁南,160万单价25691元/平米,https://nj.lianjia.com/xiaoqu/1411047734012/
富丽山庄  | 2室1厅 | 39.61平米 | 南 北 | 其他 | 无电梯,中楼层(共8层)1997年建板楼  -  月牙湖,140万单价35345元/平米,https://nj.lianjia.com/xiaoqu/1411000000180/
亚东城东区  | 3室2厅 | 122.1平米 | 南 北 | 简装 | 有电梯,中楼层(共13层)2007年建塔楼  -  仙林,409万单价33498元/平米,https://nj.lianjia.com/xiaoqu/2511051431692/
融侨观邸一期  | 2室2厅 | 91.82平米 | 南 | 其他 | 有电梯,高楼层(共12层)2015年建板楼  -  江浦街道,279万单价30386元/平米,https://nj.lianjia.com/xiaoqu/1420024173013396/
盛泉新城  | 2室2厅 | 84.49平米 | 南 北 | 其他 | 无电梯,中楼层(共6层)2005年建板楼  -  顶山街道,194万单价22962元/平米,https://nj.lianjia.com/xiaoqu/2511052952862/
东渡国际青年城  | 3室2厅 | 111.85平米 | 南 北 | 其他 | 有电梯,高楼层(共21层)2011年建板塔结合  -  东山镇,315万单价28163元/平米,https://nj.lianjia.com/xiaoqu/1411041414549/
亚都天元居  | 3室2厅 | 112.48平米 | 南 | 其他 | 有电梯,中楼层(共17层)2007年建板楼  -  百家湖,330万单价29339元/平米,https://nj.lianjia.com/xiaoqu/1411049844392/
锁金村6至10号  | 3室1厅 | 71.49平米 | 南 | 简装 | 无电梯,低楼层(共6层)1999年建板塔结合  -  锁金村,230万单价32173元/平米,https://nj.lianjia.com/xiaoqu/1411059997152/
双和园  | 5室2厅 | 127.42平米 | 南 北 | 毛坯 | 有电梯,高楼层(共11层)2005年建板楼  -  奥体,430万单价33747元/平米,https://nj.lianjia.com/xiaoqu/1411000000580/
香山美墅  | 3室2厅 | 137.54平米 | 南 北 | 其他 | 无电梯,中楼层(共4层)2009年建板楼  -  将军大道,450万单价32718元/平米,https://nj.lianjia.com/xiaoqu/1411041189799/
竺桥  | 2室1厅 | 50.28平米 | 南 北 | 其他 | 有电梯,高楼层(共7层)1992年建板塔结合  -  长江路,140万单价27845元/平米,https://nj.lianjia.com/xiaoqu/1411000000887/
通宇林景雅园  | 3室2厅 | 124.2平米 | 南 | 其他 | 有电梯,中楼层(共11层)2014年建塔楼  -  江浦街道,360万单价28986元/平米,https://nj.lianjia.com/xiaoqu/2511053339771/
万达紫金明珠  | 1室0厅 | 31.46平米 | 东 | 精装 | 有电梯,中楼层(共10层)2006年建板楼  -  月牙湖,85万单价27019元/平米,https://nj.lianjia.com/xiaoqu/1411046463725/
爱达花园兰花园  | 2室1厅 | 63.96平米 | 南 北 | 其他 | 无电梯,高楼层(共7层)1995年建板楼  -  应天西路,147万单价22984元/平米,https://nj.lianjia.com/xiaoqu/1411000000002/
万科金域蓝湾  | 3室2厅 | 115.34平米 | 南 | 其他 | 有电梯,中楼层(共31层)2014年建塔楼  -  九龙湖,425万单价36848元/平米,https://nj.lianjia.com/xiaoqu/1411041487932/
双乐园小区  | 2室2厅 | 85.57平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1997年建板楼  -  来凤里,220万单价25710元/平米,https://nj.lianjia.com/xiaoqu/1411043420529/
富春里  | 3室1厅 | 64.8平米 | 南 北 | 其他 | 无电梯,低楼层(共7层)1996年建板楼  -  新街口,208万单价32099元/平米,https://nj.lianjia.com/xiaoqu/1411042940713/
仁恒翠竹园  | 4室2厅 | 149.97平米 | 南 | 其他 | 有电梯,中楼层(共11层)2006年建板楼  -  宁南,600万单价40009元/平米,https://nj.lianjia.com/xiaoqu/1411046392500/
同曦国际广场  | 3室2厅 | 142.98平米 | 南 北 | 其他 | 有电梯,中楼层(共28层)2011年建板塔结合  -  百家湖,420万单价29375元/平米,https://nj.lianjia.com/xiaoqu/2511051418148/
世茂滨江新城  | 2室2厅 | 123.86平米 | 南 | 精装 | 有电梯,低楼层(共62层)2010年建板塔结合  -  热河南路,430万单价34717元/平米,https://nj.lianjia.com/xiaoqu/1411000000590/
九龙盛世园  | 2室2厅 | 88.69平米 | 南 北 | 其他 | 有电梯,低楼层(共9层)2005年建板楼  -  秦虹,300万单价33826元/平米,https://nj.lianjia.com/xiaoqu/1411046368703/
鸿都大厦  | 5室2厅 | 153.74平米 | 南 北 | 其他 | 有电梯,高楼层(共16层)2004年建塔楼  -  凤凰西街,538万单价34995元/平米,https://nj.lianjia.com/xiaoqu/1411000000233/
中电颐和家园睿域  | 2室1厅 | 71.43平米 | 南 北 | 其他 | 有电梯,中楼层(共18层)2013年建塔楼  -  红山,265万单价37100元/平米,https://nj.lianjia.com/xiaoqu/1411100305348/
中粮彩云居  | 2室1厅 | 42.8平米 | 东 | 其他 | 无电梯,低楼层(共6层)2012年建板楼  -  九龙湖,150万单价35047元/平米,https://nj.lianjia.com/xiaoqu/2511052676391/
明月港湾彩云湾  | 3室2厅 | 109.2平米 | 南 北 | 毛坯 | 有电梯,高楼层(共9层)2008年建板楼  -  岔路口,305万单价27931元/平米,https://nj.lianjia.com/xiaoqu/1420023314833382/
中海万锦熙岸一期  | 3室2厅 | 138平米 | 南 | 其他 | 有电梯,中楼层(共11层)2014年建板楼  -  江浦街道,330万单价23914元/平米,https://nj.lianjia.com/xiaoqu/1411062680259/
雅居乐花园  | 3室1厅 | 79.08平米 | 南 | 简装 | 有电梯,高楼层(共11层)2009年建板塔结合  -  秦虹,323万单价40845元/平米,https://nj.lianjia.com/xiaoqu/1411043590236/
东渡国际青年城  | 3室2厅 | 111.85平米 | 南 北 | 其他 | 有电梯,高楼层(共21层)2011年建板塔结合  -  东山镇,315万单价28163元/平米,https://nj.lianjia.com/xiaoqu/1411041414549/
亚都天元居  | 3室2厅 | 112.48平米 | 南 | 其他 | 有电梯,中楼层(共17层)2007年建板楼  -  百家湖,330万单价29339元/平米,https://nj.lianjia.com/xiaoqu/1411049844392/
锁金村6至10号  | 3室1厅 | 71.49平米 | 南 | 简装 | 无电梯,低楼层(共6层)1999年建板塔结合  -  锁金村,230万单价32173元/平米,https://nj.lianjia.com/xiaoqu/1411059997152/
双和园  | 5室2厅 | 127.42平米 | 南 北 | 毛坯 | 有电梯,高楼层(共11层)2005年建板楼  -  奥体,430万单价33747元/平米,https://nj.lianjia.com/xiaoqu/1411000000580/
香山美墅  | 3室2厅 | 137.54平米 | 南 北 | 其他 | 无电梯,中楼层(共4层)2009年建板楼  -  将军大道,450万单价32718元/平米,https://nj.lianjia.com/xiaoqu/1411041189799/
竺桥  | 2室1厅 | 50.28平米 | 南 北 | 其他 | 有电梯,高楼层(共7层)1992年建板塔结合  -  长江路,140万单价27845元/平米,https://nj.lianjia.com/xiaoqu/1411000000887/
通宇林景雅园  | 3室2厅 | 124.2平米 | 南 | 其他 | 有电梯,中楼层(共11层)2014年建塔楼  -  江浦街道,360万单价28986元/平米,https://nj.lianjia.com/xiaoqu/2511053339771/
万达紫金明珠  | 1室0厅 | 31.46平米 | 东 | 精装 | 有电梯,中楼层(共10层)2006年建板楼  -  月牙湖,85万单价27019元/平米,https://nj.lianjia.com/xiaoqu/1411046463725/
爱达花园兰花园  | 2室1厅 | 63.96平米 | 南 北 | 其他 | 无电梯,高楼层(共7层)1995年建板楼  -  应天西路,147万单价22984元/平米,https://nj.lianjia.com/xiaoqu/1411000000002/
万科金域蓝湾  | 3室2厅 | 115.34平米 | 南 | 其他 | 有电梯,中楼层(共31层)2014年建塔楼  -  九龙湖,425万单价36848元/平米,https://nj.lianjia.com/xiaoqu/1411041487932/
双乐园小区  | 2室2厅 | 85.57平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1997年建板楼  -  来凤里,220万单价25710元/平米,https://nj.lianjia.com/xiaoqu/1411043420529/
富春里  | 3室1厅 | 64.8平米 | 南 北 | 其他 | 无电梯,低楼层(共7层)1996年建板楼  -  新街口,208万单价32099元/平米,https://nj.lianjia.com/xiaoqu/1411042940713/
明月港湾彩云湾  | 3室2厅 | 109.2平米 | 南 北 | 毛坯 | 有电梯,高楼层(共9层)2008年建板楼  -  岔路口,305万单价27931元/平米,https://nj.lianjia.com/xiaoqu/1420023314833382/
中海万锦熙岸一期  | 3室2厅 | 138平米 | 南 | 其他 | 有电梯,中楼层(共11层)2014年建板楼  -  江浦街道,330万单价23914元/平米,https://nj.lianjia.com/xiaoqu/1411062680259/
雅居乐花园  | 3室1厅 | 79.08平米 | 南 | 简装 | 有电梯,高楼层(共11层)2009年建板塔结合  -  秦虹,323万单价40845元/平米,https://nj.lianjia.com/xiaoqu/1411043590236/
麒麟山庄  | 3室2厅 | 141.41平米 | 南 北 | 毛坯 | 有电梯,中楼层(共11层)2009年建板楼  -  麒麟镇,280万单价19801元/平米,https://nj.lianjia.com/xiaoqu/1411061927461/
华汇康城  | 2室2厅 | 84.1平米 | 南 北 | 毛坯 | 无电梯,低楼层(共6层)2009年建板塔结合  -  麒麟镇,185万单价21998元/平米,https://nj.lianjia.com/xiaoqu/2511052540312/
通宇林景雅园  | 3室2厅 | 116.42平米 | 南 北 | 毛坯 | 有电梯,中楼层(共11层)2014年建塔楼  -  江浦街道,320万单价27487元/平米,https://nj.lianjia.com/xiaoqu/2511053339771/
南大和园  | 3室1厅 | 89.08平米 | 南 | 其他 | 无电梯,高楼层(共6层)2009年建板楼  -  仙林,348万单价39067元/平米,https://nj.lianjia.com/xiaoqu/2511051954854/
